activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Toeristisch infopunt Vilvoorde;1800;229456;10
MoMu - Modemuseum Antwerpen;2000;379141;10
Toerisme Ieper;8900;222080;10
Strandjutter;8430;224724;10
het MOT;1850;226833;10
Bezoekerscentrum en stoeterij brouwerij Palm;1840;225947;10
Belle Epoque Centrum;8370;219837;10
Yorkshire trench en dug-out;8904;229470;10
Visit Lier;2500;218971;10
Les Zéphyrs;8434;226767;10
Provinciaal Groendomein De Averegten;2220;219242;10
APB Provinciaal Recreatiedomein Zilvermeer;2400;219567;10
Glacier Vincent;8370;229392;10
Bistro Vaudeville;8400;220059;10
Les Zéphyrs;8434;227135;10
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;211322;10
Tyne Cot Cemetery & Memorial;8980;229470;10
Restaurant Zeepaardje;8370;227200;10
Memorial Museum Passchendaele 1917;8980;325282;10
Bistro Moby Dick;8400;227913;10
Toerisme Oostende;8400;229373;10
Les Zéphyrs;8434;228185;10
Restaurant De Mirage;8660;222642;10
Toerisme Kasterlee;2460;219252;10
Toerisme Brugge (Zeedijk);8380;211575;10
Stadsbrouwerij De Koninck;2018;211427;10
Restaurant Zeepaardje;8370;225484;10
Ravelingen - De Wandelaar;8400;227603;10
Museum Dr. Guislain;9000;211350;10
Bike Corner - verhuur tandems en elektrische fietsen;9800;225999;10
Duinpanne;8660;223883;10
Brasserie Entourage;8400;220689;10
ModeMuseum Antwerpen - MoMu;2000;211412;10
Toerisme Hasselt;3500;380742;10
Vayamundo De Kinkhoorn & Ravelingen;8400;226066;10
Tearoom M due;8450;219621;10
Bezoekerscentrum en stoeterij brouwerij Palm;1840;346162;10
Tandem (Toerisme Hamme);9220;224448;10
Strandjutter;8430;385266;10
Belle Epoque Centrum;8370;221616;10
Herisemmolen;1652;226263;10
Toerisme Malle;2390;211783;10
Brasserie Entourage;8400;222520;10
Zuivelmuseum;8370;276418;10
Executieplaats / Dodencellen;8970;379092;10
Brasserie Cinq Annoo;8301;228812;10
Tearoom M due;8450;240756;10
Domein Kattevennen;3600;221890;10
Kasteel Wijnendale;8820;224749;10
Sportimonium;1981;222610;10
Tearoom Riviera;8430;324928;10
Grand Café au Lilas Blanc;8301;225056;10
Graanmarkt 13;2000;212269;10
(elektrische) Strandjutter;8670;228436;10
Stedelijk zwembad;8620;223890;10
Taverne On the Beach (Casino Middelkerke);8430;226370;10
Menenpoort;8900;220048;10
Tearoom Riviera;8430;229392;10
Sint-Janshospitaal;8000;211558;10
Brouwerij Gulden Spoor;8560;223399;10
Rolstoelfietsen;8200;211701;10
Strandjutter;8430;228679;10
Coxyde Military Cemetery;8670;228812;10
Modemuseum Hasselt;3500;223296;10
Bezoekerscentrum Palingbeek;8902;221893;10
Domeinbos Heverleebos + Meerdaalwoud;3050;227460;10
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;226606;10
Brasserie Carrousel (Hotel Cosmopolite);8620;220631;10
Provinciaal Groendomein De Averegten;2220;219079;10
Fietsen Remory - verhuur elektrische fietsen;9230;224507;10
Visit Antwerpen;2000;385344;10
Ravelingen - De Wandelaar;8400;222504;10
Taverne On the Beach (Casino Middelkerke);8430;222040;10
Restaurant De Wintertuin (Kasteel Wurfeld);3680;225824;10
Restaurant Zeepaardje;8370;229377;10
Toerisme Dendermonde;9200;229351;10
Toerisme Middelkerke;8430;228857;10
Restaurant Zeepaardje;8370;227150;10
strandbuggy's;8400;221009;10
Brasserie Entourage;8400;228583;10
Museum Dr. Guislain;9000;211143;10
Frans Ossuarium Kemmelberg - Heuvelland;8956;226931;10
Restaurant De Mirage;8660;228128;10
Improvisio;3000;210766;10
Kasteel Beauvoorde;8630;227253;10
Bezoekerscentrum Doornpanne;8670;224166;10
Infopunt Visit Blankenberge;8370;221195;10
Restaurant Belvedere;8400;221939;10
Industriemuseum;9000;211082;10
Strandrolstoel en tandems;8670;228492;10
Vayamundo De Kinkhoorn & Ravelingen;8400;227447;10
Restaurant Maria van Bourgondië;8000;211608;10
Sel Gris;8301;228705;10
Cafetaria De Lenspolder (kinderboerderij);8620;224638;10
Basiliek van het Heilig Bloed;8000;211583;10
Domeinbos Heverleebos + Meerdaalwoud;3050;227199;10
Bakkerijmuseum Walter Plaetinck-Zuidgasthuishoeve;8630;220415;10
Restaurant Blue Lobster;8380;228128;10
Restaurant Belvedere Rodeberg;8954;224801;10
Toerisme De Panne;8660;226066;10
Fietsparadijs Limburg;3500;228886;10
Restaurant Aazaert;8370;224166;10
Plantentuin Meise;1860;227199;10
Heemkundig Museum Turkeyenhof;8450;225718;10
Restaurant De Mirage;8660;228421;10
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;383253;10
Restaurant - Tearoom De Markt;8620;228436;10
Duinpanne;8660;220509;10
Gruuthusemuseum;8000;211536;10
Hopmuseum;8970;226931;10
Zwin Natuur Park;8300;219729;10
Bezoekerscentrum van de Hagelandse wijn;3111;212448;10
Restaurant Bistreau;8450;227393;10
Tearoom Aan Zee;8660;228565;10
Tearoom Riviera;8430;222642;10
Brasserie Carrousel (Hotel Cosmopolite);8620;229393;10
Recreatiedomein Grasduinen;8450;222504;10
Resto North Sea (North Sea Bowl);8670;221195;10
Strandrolstoel;8660;227603;10
Toerisme De Haan - Infokantoor Vosseslag;8420;224638;10
Bistro Tearoom De Kippe;8650;226931;10
Sportimonium;1981;324812;10
Sportimonium;1981;224765;10
Provinciedomein Raversyde;8400;228812;10
Restaurant Bistreau;8450;227906;10
Toerisme Peer;3990;226831;10
NAVIGO-Nationaal Visserijmuseum;8670;229393;10
Glacier Vincent;8370;221195;10
(elektrische) Strandjutter;8670;240756;10
Eet-praatcafé De Smidse;8430;224878;10
Provinciaal Domein Sterrebos;8800;224551;10
Heemkundig Museum Turkeyenhof;8450;240756;10
Gruuthusemuseum;8000;211665;10
Carcasse;8670;221939;10
Executieplaats / Dodencellen;8970;222897;10
Taverne Seastar Terminal;8620;222520;10
strandbuggy's;8400;221421;10
Station As;3665;226273;10
Carcasse;8670;314734;10
Toeristisch bezoekerscentrum De Warandepoort;3080;357221;10
Floris;8200;211548;10
Belle Epoque Centrum;8370;227200;10
Memling Taverne;3000;211145;10
Restaurant Comilfo;8620;229375;10
Restaurant De Kombuis;8380;225484;10
Les Zéphyrs;8434;385266;10
Charles Dresse Monument;8920;221955;10
Wandelen met de Joëlette (draagrolstoel);2460;219557;10
Toerisme Kasterlee;2460;219121;10
Zwembad Hoge Blekker;8670;222223;10
Stadsmuseum 't Schippershof;8930;276408;10
Toeristisch infopunt Vilvoorde;1800;221860;10
Resto North Sea (North Sea Bowl);8670;229383;10
Stadsbrouwerij De Koninck;2018;211126;10
Fietsencentrum Mobiel (Handbike);8500;225999;10
Strandjutter;8300;227142;10
Huisbrouwerij De Halve Maan;8000;211702;10
Ravelingen - De Wandelaar;8400;227374;10
Heemkundig Museum Turkeyenhof;8450;227937;10
Toerisme Brugge (Zeedijk);8380;211565;10
Amu;2300;382925;10
Rolstoelfietsen (Hamont-Achel);3930;219930;10
The Jane;2018;211371;10
Sint-Antoniuskapel - Damiaancrypte;3000;211509;10
Zuivelmuseum;8370;325233;10
Visit Antwerpen;2000;357215;10
Groeningemuseum;8000;211595;10
Restaurant Zeepaardje;8370;226370;10
Restaurant Aazaert;8370;224366;10
Plantentuin Meise;1860;221636;10
Brasserie Stadspark;2300;211783;10
Westfront;8620;228128;10
Restaurant - Tearoom De Markt;8620;229381;10
Carcasse;8670;224810;10
Minnewater;8000;211600;10
Restaurant Blue Lobster;8380;219717;10
Mijnmuseum Beringen;3582;261446;10
Living Tomorrow;1800;222662;10
Strandjutter;8430;223485;10
het MOT;1850;222225;10
Restaurant Blue Lobster;8380;227206;10
FOMU – Fotomuseum Antwerpen;2000;357215;10
Tearoom Aan Zee;8660;227200;10
Tearoom Aan Zee;8660;223838;10
Toerisme Baarle-Hertog-Nassau;2387;219140;10
Bezoekerscentrum Palingbeek;8902;227534;10
Resto North Sea (North Sea Bowl);8670;225058;10
Tearoom Riviera;8430;223168;10
DvT Waregem;8790;229118;10
Toerisme De Haan - Centrum;8420;228269;10
Brasserie Carrousel (Hotel Cosmopolite);8620;229305;10
Brasserie Cinq Annoo;8301;220363;10
Restaurant Belvedere;8400;224209;10
Pakawi Park;2491;386761;10
Tearoom M due;8450;224366;10
Gruuthusemuseum;8000;211616;10
Minnewater;8000;211602;10
Eet-praatcafé De Smidse;8430;229474;10
Westfront;8620;229394;10
Vladslo Duits Militair Kerkhof (Praatbos);8600;221955;10
Toerisme - VVV Balen vzw;2490;380235;10
Vayamundo De Kinkhoorn & Ravelingen;8400;225595;10
Restaurant Venitien;8370;228366;10
Brouwerijbezoek De Kroon;3040;221522;10
Toeristisch bezoekerscentrum De Warandepoort;3080;220573;10
Blotevoetenpad;3690;229090;10
Suske en Wiske Museum;2920;219062;10
Toerisme Zonnebeke;8980;226610;10
Kemmelberg - Monument aux Soldats Français (Den Engel);8950;325282;10
Toerisme - VVV Balen vzw;2490;219140;10
Connecterra;3630;225822;10
Recreatiedomein Grasduinen;8450;261132;10
Polymnia;1850;277016;10
Frietmuseum;8000;211577;10
Dienst Toerisme Veurne;8630;225977;10
Toerisme Zonnebeke;8980;227874;10
Arentshuis;8000;212267;10
Strandrolstoel;8370;224638;10
Toerisme Middelkerke;8430;227150;10
Rozentuin Coloma;1600;304044;10
Belle Epoque Centrum;8370;226383;10
Museum aan de IJzer;8600;229555;10
Taverne Seastar Terminal;8620;223485;10
Brasserie Marcel;8370;221323;10
(elektrische) Strandjutter;8670;220589;10
Toerisme De Haan - Centrum;8420;223485;10
Brouwerijbezoek huisbrouwerij Domus;3000;211323;10
Transfo;8550;224551;10
Duinpanne;8660;224724;10
St-Vincentiuskerk;9900;228316;10
Eet-praatcafé De Smidse;8430;229385;10
Het Broek Blaasveld;2830;226081;10
Visit Antwerpen - Centraal Station;2018;211116;10
Toerisme De Haan - Centrum;8420;229386;10
Middelheimmuseum;2020;211318;10
Glacier Vincent;8370;223485;10
Tyne Cot Cemetery & Memorial;8980;229384;10
Visit Lier;2500;219182;10
Tearoom Aan Zee;8660;223202;10
Strandrolstoel;8370;229360;10
Restaurant Belvedere;8400;223485;10
Brasserie Marcel;8370;223485;10
Brouwerij Boon;1502;380302;10
Heemkundig Museum Turkeyenhof;8450;229371;10
Huisbrouwerij De Halve Maan;8000;211581;10
Restaurant Maria van Bourgondië;8000;211591;10
Sint-Janshospitaal (Memlingmuseum);8000;211836;10
Wielingenbad;8420;230285;10
Arentshuis;8000;211545;10
Bezoekerscentrum De Lieteberg;3690;220142;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;220689;10
Toerisme Knokke-Heist;8300;224847;10
Hostellerie De Kemmelberg;8956;225977;10
Vayamundo De Kinkhoorn & Ravelingen;8400;385838;10
Belle Epoque Centrum;8370;222223;10
Eet-praatcafé De Smidse;8430;228525;10
Yorkshire trench en dug-out;8904;227253;10
Brouwerij Gruut;9000;211135;10
Stedelijk zwembad;8620;225512;10
Frietmuseum;8000;211578;10
Zoethout;3830;221719;10
Resto North Sea (North Sea Bowl);8670;219885;10
Fort Napoleon;8400;221343;10
Taverne Seastar Terminal;8620;223168;10
Restaurant Caroline;8301;230285;10
Rolstoelfietsen;8200;211593;10
Duinpanne;8660;225823;10
Strandjutter;8430;229373;10
Museum In Flanders Fields (IFF);8900;221893;10
Bistro Moby Dick;8400;229376;10
Cozmix;8200;211573;10
Brasserie Carrousel (Hotel Cosmopolite);8620;227200;10
Visit Antwerpen - Centraal Station;2018;211041;10
Westfront;8620;224518;10
M – café (M – Museum Leuven);3000;210767;10
Sel Gris;8301;228305;10
Toerisme Maldegem;9990;228240;10
Restaurant De Mirage;8660;228492;10
Restaurant Bistreau;8450;228997;10
Restaurant - Tearoom De Markt;8620;225484;10
Sint-Janskerk;8970;226873;10
Café De Republiek;8000;211575;10
Restaurant Venitien;8370;222504;10
Recreatiedomein Grasduinen;8450;219811;10
Station As;3665;222253;10
Restaurant Comilfo;8620;226507;10
Les Zéphyrs;8434;229360;10
Resto North Sea (North Sea Bowl);8670;223883;10
Restaurant Venitien;8370;261132;10
De Wereld van Kina: het Huis;9000;210818;10
Tearoom Désiré de Lille;2000;346429;10
Sportimonium;1981;277008;10
Brouwerij Boon;1502;220806;10
Snijders&Rockoxhuis;2000;387237;10
Zwembad Hoge Blekker;8670;276418;10
Restaurant - Tearoom De Markt;8620;229393;10
Toerisme Oostende;8400;314734;10
Toerisme Brasschaat;2930;219285;10
Stedelijk zwembad;8620;227447;10
Pater Damiaanmuseum;3120;212469;10
Toerisme en Evenementen Heusden-Zolder;3550;221890;10
Hotel Dennenhof - restaurant;2930;219559;10
Wielingenbad;8420;229375;10
Bezoekersonthaal Kattevennen - Cosmodrome;3600;212310;10
Restaurant Caroline;8301;220104;10
Restaurant De Kombuis;8380;261132;10
Käthe Kollwitz Museum - Fransmansmuseum;8680;225545;10
Toerisme Malle;2390;219176;10
Westfront;8620;227993;10
Sint-Pietersabdij;9000;211866;10
Brasserie Cinq Annoo;8301;229463;10
Restaurant Maria van Bourgondië;8000;211541;10
Ravelingen - Den Ensor;8400;220560;10
Fietsen Remory - verhuur elektrische fietsen;9230;219903;10
Herisemmolen;1652;229358;10
Taverne On the Beach (Casino Middelkerke);8430;228305;10
De Karper;9870;240660;10
Rolstoelfietsen (Maasmechelen);3630;220117;10
Restaurant Aazaert;8370;219749;10
Tearoom - Eetcafé De Bretoen;8000;211567;10
Infopunt Visit Blankenberge;8370;228305;10
Sint-Niklaaskerk;9000;211135;10
Dienst Toerisme Veurne;8630;379092;10
Zwembad Ter Polder;8450;220589;10
Resto North Sea (North Sea Bowl);8670;240756;10
Hostellerie De Kemmelberg;8956;224406;10
Brasserie Cinq Annoo;8301;227906;10
Kantcentrum;8000;211729;10
Heemkundig Museum Turkeyenhof;8450;226669;10
Het Waterhuis aan de Bierkant;9000;211170;10
Strandjutter;8300;226271;10
Belfort Foodbar;9000;211724;10
Restaurant Belvedere;8400;222890;10
Taverne Seastar Terminal;8620;219621;10
Hill 60;8902;223692;10
Zwembad Hoge Blekker;8670;224878;10
Duinpanne;8660;228565;10
Groeningemuseum;8000;211702;10
Café De Republiek;8000;211569;10
Vinto;9770;228345;10
Groeningemuseum;8000;211542;10
Rubenshuis;2000;211699;10
Glacier Vincent;8370;222223;10
Kruidtuin;3000;211323;10
Toerisme Oostende;8400;227142;10
Strandrolstoel;8660;223202;10
Eet-praatcafé De Smidse;8430;220413;10
NAVIGO-Nationaal Visserijmuseum;8670;219922;10
Begijnhuisje;8000;211562;10
Recreatiedomein Grasduinen;8450;225392;10
Restaurant Comilfo;8620;229101;10
Strandjutter;8430;228269;10
Domeinbos Heverleebos + Meerdaalwoud;3050;224765;10
Sint-Carolus Borromeuskerk;2000;346429;10
Herisemmolen;1652;221122;10
Domeinbos Heverleebos + Meerdaalwoud;3050;261144;10
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;211086;10
Restaurant Comilfo;8620;222520;10
Toerisme Brugge (Zeedijk);8380;211572;10
Toerisme - VVV Balen vzw;2490;219352;10
Provinciedomein Raversyde;8400;229463;10
Begijnhofmuseum;2300;219338;10
Rik Wouterstuin;2800;211088;10
Coxyde Military Cemetery;8670;228128;10
Restaurant Belvedere;8400;228812;10
Chocolate Nation;2018;211322;10
Dodencellen en executiepaal;8970;227411;10
Fietsbelevingscentrum De Velodroom;2850;223181;10
Nationaal Park Hoge Kempen;3600;224135;10
Kasteel Wijnendale;8820;227056;10
Sel Gris;8301;220930;10
Westfront;8620;220365;10
Gallo-Romeins Museum (GRM);3700;221471;10
Restaurant Belvedere;8400;219837;10
AfricaMuseum;3080;224765;10
Restaurant Blue Lobster;8380;385838;10
Rolstoelfietsen;8200;211582;10
FOMU – Fotomuseum Antwerpen;2000;211072;10
Stedelijk zwembad;8620;226937;10
Carcasse;8670;263795;10
Fort Napoleon;8400;222642;10
Käthe Kollwitz Museum - Fransmansmuseum;8680;222372;10
Brouwerij Boon;1502;229349;10
Toerisme Peer;3990;229051;10
Tandem (Toerisme Hamme);9220;229221;10
Gandante ;9000;324846;10
Gandante ;9000;211847;10
Bistro Vaudeville;8400;226370;10
Serpentarium;8370;261132;10
Suske en Wiske Museum;2920;218973;10
Visit Lier;2500;219288;10
Wandelen met de Joëlette (draagrolstoel);2460;219079;10
Serpentarium;8370;220509;10
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211322;10
Wielingenbad;8420;227633;10
Restaurant-Taverne Tijdok;8380;220631;10
Visit Antwerpen - Centraal Station;2018;211108;10
Toerisme Kasterlee;2460;219079;10
Memling Taverne;3000;210783;10
Gallo-Romeins Museum Tongeren;3700;225858;10
Site Oud Sint-Jan;8000;211575;10
Brasserie Cinq Annoo;8301;226937;10
Het Waterhuis aan de Bierkant;9000;211143;10
Fort Napoleon;8400;227292;10
Industriemuseum;9000;211401;10
Bistro De Markt;8370;225512;10
Vayamundo De Kinkhoorn & Ravelingen;8400;222136;10
Fort Napoleon;8400;223168;10
Amu;2300;219435;10
Toerisme Oostende;8400;228705;10
Tandem (Toerisme Hamme);9220;357284;10
De Vroente, Vlaams Kennis- en Vormingscentrum voor Natuur en Milieu;2920;211326;10
Glacier Vincent;8370;228857;10
Tearoom M due;8450;228185;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;263795;10
Vayamundo De Kinkhoorn & Ravelingen;8400;223883;10
Museum In Flanders Fields (IFF);8900;225875;10
Duinpanne;8660;378913;10
Sealife Center Belgium;8370;212541;10
Taverne Seastar Terminal;8620;227913;10
Cozmix;8200;211551;10
Taverne Passage (Grand Bazar Antwerp);2000;357215;10
Tearoom M due;8450;228267;10
Brasserie Carrousel (Hotel Cosmopolite);8620;228583;10
Bistro Moby Dick;8400;221132;10
Hidrodoe;2200;219338;10
Bistro Moby Dick;8400;224518;10
Westfront;8620;223085;10
Domein Bokrijk;3600;221480;10
Bezoekerscentrum Doornpanne;8670;220509;10
Ossuaire français Veurne;8630;221955;10
Begijnhuisje;8000;261644;10
Kattevennen-Cosmodrome vzw;3600;384594;10
Het Huis van Alijn;9000;211259;10
Toeristisch bezoekerscentrum De Warandepoort;3080;221169;10
Belle Epoque Centrum;8370;221323;10
Westfront;8620;228185;10
Archeologiemuseum;8000;211568;10
Domein Bokrijk;3600;229397;10
Sealife Center Belgium;8370;221009;10
Restaurant Comilfo;8620;229391;10
Stadhuis van Antwerpen;2000;211932;10
Museum Dr. Guislain;9000;211401;10
Strandrolstoel en tandems;8670;377927;10
Restaurant Blue Lobster;8380;222952;10
Brasserie Carrousel (Hotel Cosmopolite);8620;228778;10
Gallo-Romeins Museum (GRM);3700;383743;10
Caterpillar;8902;225545;10
Provinciaal Groendomein Prinsenpark;2470;218973;10
VVV Toerisme Essen vzw;2910;219460;10
Eet-praatcafé De Smidse;8430;229140;10
Charles Dresse Monument;8920;229555;10
Abdijmuseum Ten Duinen ;8670;225254;10
Restaurant 	Verdi;8000;211595;10
Glacier Vincent;8370;226240;10
Bistro De Markt;8370;220560;10
Bistro ’t Verschil;8830;222372;10
Recreatiedomein Grasduinen;8450;228997;10
Restaurant Brasserie Tearoom Beach;8300;220363;10
Begijnhuisje;8000;211608;10
Zwembad Hoge Blekker;8670;345862;10
Toerisme De Panne;8660;223838;10
Serpentarium;8370;226669;10
Visit Maasmechelen;3630;225093;10
Fietsparadijs Limburg;3500;380471;10
Red Star Line Museum;2000;211126;10
FOMU – Fotomuseum Antwerpen;2000;211041;10
Sint-Janshospitaal (Memlingmuseum);8000;211609;10
Taverne Seastar Terminal;8620;221606;10
Wandelen met de Joëlette (draagrolstoel);2460;219555;10
Archeologiemuseum;8000;211576;10
Restaurant - Tearoom De Markt;8620;219973;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;224847;10
Restaurant Belvedere;8400;261132;10
Restaurant Maria van Bourgondië;8000;211577;10
Zoo Antwerpen;2018;356976;10
Taverne Passage (Grand Bazar Antwerp);2000;211876;10
Memorial Museum Passchendaele 1917;8980;221423;10
Restaurant De Mirage;8660;228820;10
Eet-praatcafé De Smidse;8430;221421;10
Zwembad Ter Polder;8450;229381;10
Bistro ’t Verschil;8830;227534;10
Fort Napoleon;8400;229383;10
Zwembad Hoge Blekker;8670;325233;10
Toerisme Oostende;8400;220104;10
Toeristisch bezoekerscentrum De Warandepoort;3080;212540;10
Hotel Dennenhof - restaurant;2930;346146;10
Taverne On the Beach (Casino Middelkerke);8430;225512;10
De Krook;9000;211082;10
Cafetaria De Lenspolder (kinderboerderij);8620;227142;10
strandbuggy's;8400;228857;10
Strandbuggy en -rolstoel;8400;226617;10
Restaurant Venitien;8370;240756;10
Menenpoort;8900;221408;10
Restaurant Callecanes;8978;229617;10
Gruuthusemuseum;8000;211733;10
Begijnhof Brugge;8000;211607;10
Herisemmolen;1652;221906;10
Rolstoelfietsen;8200;211602;10
Brasserie Marcel;8370;229382;10
Sint-Janskerk;8970;325282;10
strandbuggy's;8400;381218;10
ModeMuseum Antwerpen - MoMu;2000;211132;10
Taverne Seastar Terminal;8620;226240;10
Restaurant Zeepaardje;8370;220694;10
Bijenteeltmuseum;2920;219177;10
Historium Brugge;8000;211550;10
strandbuggy's;8400;223890;10
Resto North Sea (North Sea Bowl);8670;250914;10
Cuchara;3920;212310;10
Provinciaal Domein De Gavers;8530;224551;10
Restaurant Brasserie Tearoom Beach;8300;250914;10
Brouwerij Boon;1502;229471;10
Toerisme De Haan - Infokantoor Vosseslag;8420;324790;10
Ghent-Authentic;9000;211256;10
MOU - Museum Oudenaarde en de Vlaamse Ardennen;9700;229348;10
Toerisme De Haan - Centrum;8420;228436;10
Paul Delvauxmuseum;8670;314734;10
Domeinbos Heverleebos + Meerdaalwoud;3050;227559;10
Toerisme Sint-Katelijne-Waver;2860;219098;10
Stadhuis Antwerpen;2000;275410;10
Groeningemuseum;8000;211553;10
Living Tomorrow;1800;221220;10
Recreatiedomein Grasduinen;8450;227288;10
Zwin Natuur Park;8300;223345;10
Zwembad Ter Polder;8450;225484;10
Kunsthal Gent (voomalig Caermersklooster);9000;261492;10
Duofiets huren bij de Bottelarij;3832;221569;10
Caterpillar;8902;226931;10
De Karper;9870;228638;10
Sportimonium;1981;227559;10
Rozentuin Coloma;1600;275408;10
Gezellehuis;8000;211605;10
Bistro Moby Dick;8400;225056;10
Toerisme Baarle-Hertog-Nassau;2387;218992;10
Brouwerij Timmermans;1701;225386;10
Toerisme Ronse - Hoge Mote belevingscentrum;9600;385219;10
Hidrodoe;2200;219242;10
Sint-Janskerk;8970;224406;10
Blotevoetenpad;3690;223747;10
Bistro De Markt;8370;227135;10
Toerisme Middelkerke;8430;224878;10
Provinciedomein Raversyde;8400;228857;10
Zwin Natuur Park;8300;382345;10
Sint-Salvatorskathedraal;8000;211612;10
Basiliek van het Heilig Bloed;8000;212267;10
Sint-Janshospitaal;8000;211581;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;229359;10
Abdijmuseum Ten Duinen ;8670;229101;10
Serpentarium;8370;229383;10
Grand Café au Lilas Blanc;8301;221596;10
Taverne On the Beach (Casino Middelkerke);8430;223963;10
ModeMuseum Antwerpen - MoMu;2000;324993;10
Zuivelmuseum;8370;225295;10
Sint-Niklaaskerk;9000;211259;10
Centrum Ronde van Vlaanderen - Belevingsmuseum;9700;223691;10
Gallo-Romeins Museum Tongeren;3700;228839;10
Tyne Cot Cemetery & Memorial;8980;224599;10
Innesto;3530;224615;10
Fort Napoleon;8400;223202;10
Tearoom M due;8450;314734;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;222504;10
Eet-praatcafé De Smidse;8430;220930;10
Strandrolstoel en tandems;8670;385838;10
Wombats lenen bij Dienst Toerisme;2920;219331;10
De Vroente, Vlaams Kennis- en Vormingscentrum voor Natuur en Milieu;2920;380235;10
Tearoom Riviera;8430;226370;10
Bezoekerscentrum en stoeterij brouwerij Palm;1840;221636;10
Restaurant Zeepaardje;8370;227292;10
Zwembad Hoge Blekker;8670;220509;10
Toerisme Zonnebeke;8980;229384;10
Archeologiemuseum;8000;211573;10
Brasserie Marcel;8370;381218;10
Rubenshuis;2000;211092;10
Bistro Moby Dick;8400;220969;10
MOU - Museum Oudenaarde en de Vlaamse Ardennen;9700;220769;10
Graanmarkt 13;2000;211217;10
Restaurant Zeepaardje;8370;229393;10
FOMU – Fotomuseum Antwerpen;2000;382870;10
Taverne Den Bolhoed;2000;211876;10
Museum De Mindere;3800;221569;10
Restaurant Blue Lobster;8380;227906;10
De Hooipiete;8647;224848;10
